aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,False,,False,False,False,True,,Change Event ID,18,,,Id,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,False,id,False,False,False
False,False,3000,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Replay ID,1000,,,ReplayId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Change Event Header,0,,,ChangeEventHeader,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,ChangeEventHeader,False,complexvalue,False,False,False
False,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Name,80,,,Name,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Parent Campaign ID,18,,,ParentId,False,False,True,False,[],False,0,False,,['Campaign'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,120,False,,False,False,,,False,False,Event,,True,False,False,0,False,False,False,,False,,False,False,False,False,,Type,40,,,Type,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', True), ('label', 'Event'), ('validFor', None), ('value', 'Event')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Demo Signup / Trial'), ('validFor', None), ('value', 'Demo Signup / Trial')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Email'), ('validFor', None), ('value', 'Email')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Referral Program'), ('validFor', None), ('value', 'Referral Program')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Search'), ('validFor', None), ('value', 'Search')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Social Media'), ('validFor', None), ('value', 'Social Media')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Thought Leadership'), ('validFor', None), ('value', 'Thought Leadership')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Website Direct'), ('validFor', None), ('value', 'Website Direct')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Other'), ('validFor', None), ('value', 'Other')])]",False,0,False,,[],,,False,False,0,False,xsd:string,False,picklist,False,False,False
False,False,120,False,,False,False,,,False,False,Planned,,True,False,False,0,False,False,False,,False,,False,False,False,False,,Status,40,,,Status,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'In Progress'), ('validFor', None), ('value', 'In Progress')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Completed'), ('validFor', None), ('value', 'Completed')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Aborted'), ('validFor', None), ('value', 'Aborted')]), OrderedDict([('active', True), ('defaultValue', True), ('label', 'Planned'), ('validFor', None), ('value', 'Planned')])]",False,0,False,,[],,,False,False,0,False,xsd:string,False,picklist,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Start Date,0,,,StartDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:date,False,date,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,End Date,0,,,EndDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:date,False,date,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Expected Revenue in Campaign,0,,,ExpectedRevenue,False,False,True,False,[],False,18,False,,[],,,False,False,0,False,xsd:double,False,currency,False,False,False
