aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Partner Role Value ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Master Label,255,,,MasterLabel,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,True,,Api Name,255,,,ApiName,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Sort Order,0,,,SortOrder,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Reverse Role,40,,,ReverseRole,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Advertiser'), ('validFor', None), ('value', 'Advertiser')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Agency'), ('validFor', None), ('value', 'Agency')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Broker'), ('validFor', None), ('value', 'Broker')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Consultant'), ('validFor', None), ('value', 'Consultant')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Dealer'), ('validFor', None), ('value', 'Dealer')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Developer'), ('validFor', None), ('value', 'Developer')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Distributor'), ('validFor', None), ('value', 'Distributor')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Institution'), ('validFor', None), ('value', 'Institution')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Lender'), ('validFor', None), ('value', 'Lender')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'System Integrator'), ('validFor', None), ('value', 'System Integrator')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'VAR/Reseller'), ('validFor', None), ('value', 'VAR/Reseller')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
