aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Case ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,True,90,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,True,,Case Number,30,,,CaseNumber,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Contact ID,18,,,ContactId,False,False,True,True,[],False,0,False,,['Contact'],Contact,,False,False,0,True,tns:ID,True,reference,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Account ID,18,,,AccountId,False,False,True,True,[],False,0,False,,['Account'],Account,,False,False,0,True,tns:ID,True,reference,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Asset ID,18,,,AssetId,False,False,True,True,[],False,0,False,,['Asset'],Asset,,False,False,0,True,tns:ID,True,reference,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Source ID,18,,,SourceId,False,True,True,True,[],True,0,False,,"['EmailMessage', 'SocialPost']",Source,,False,False,0,True,tns:ID,True,reference,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Business Hours ID,18,,,BusinessHoursId,False,False,False,True,[],False,0,False,,['BusinessHours'],BusinessHours,,False,False,0,True,tns:ID,True,reference,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Parent Case ID,18,,,ParentId,False,False,True,True,[],False,0,False,,['Case'],Parent,,False,False,0,True,tns:ID,True,reference,False,True,False
True,False,240,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Name,80,,,SuppliedName,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,240,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Email Address,80,,,SuppliedEmail,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,email,False,True,False
True,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Phone,40,,,SuppliedPhone,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,240,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Company,80,,,SuppliedCompany,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Case Type,40,,,Type,False,False,True,True,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Problem'), ('validFor', None), ('value', 'Problem')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Feature Request'), ('validFor', None), ('value', 'Feature Request')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Question'), ('validFor', None), ('value', 'Question')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,True,False
True,False,120,False,,False,False,,,True,False,New,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Status,40,,,Status,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'On Hold'), ('validFor', None), ('value', 'On Hold')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Escalated'), ('validFor', None), ('value', 'Escalated')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Closed'), ('validFor', None), ('value', 'Closed')]), OrderedDict([('active', True), ('defaultValue', True), ('label', 'New'), ('validFor', None), ('value', 'New')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,True,False
True,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Case Reason,40,,,Reason,False,False,True,True,"[OrderedDict([('active', True), ('defaultValue', False), ('label', ""User didn't attend training""), ('validFor', None), ('value', ""User didn't attend training"")]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Complex functionality'), ('validFor', None), ('value', 'Complex functionality')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Existing problem'), ('validFor', None), ('value', 'Existing problem')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Instructions not clear'), ('validFor', None), ('value', 'Instructions not clear')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'New problem'), ('validFor', None), ('value', 'New problem')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,True,False
True,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Case Origin,40,,,Origin,False,False,True,True,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Email'), ('validFor', None), ('value', 'Email')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Phone'), ('validFor', None), ('value', 'Phone')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Web'), ('validFor', None), ('value', 'Web')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,True,False
True,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Subject,255,,,Subject,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,120,False,,False,False,,,True,False,Medium,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Priority,40,,,Priority,False,False,True,True,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'High'), ('validFor', None), ('value', 'High')]), OrderedDict([('active', True), ('defaultValue', True), ('label', 'Medium'), ('validFor', None), ('value', 'Medium')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Low'), ('validFor', None), ('value', 'Low')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,True,False
False,False,96000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,plaintextarea,False,,False,False,False,False,,Description,32000,,,Description,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,textarea,False,True,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Closed,0,,,IsClosed,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Closed Date,0,,,ClosedDate,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Escalated,0,,,IsEscalated,False,False,False,True,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
True,False,18,False,,False,False,,,True,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Owner ID,18,,,OwnerId,False,True,False,False,[],True,0,False,,"['Group', 'User']",Owner,,False,False,0,False,tns:ID,True,reference,False,True,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Closed When Created,0,,,IsClosedOnCreate,False,False,False,True,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
