aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Experience Page Override Id,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Network ID,18,,,NetworkId,False,False,False,False,[],False,0,False,,['Network'],Network,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Page Override Type,255,,,OverrideType,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Inactive Site Home Page'), ('validFor', None), ('value', 'InMaintenance')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Authorization Required Page (401)'), ('validFor', None), ('value', 'LoginRequired')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Page Not Found Page (404)'), ('validFor', None), ('value', 'FileNotFound')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Generic Error Page'), ('validFor', None), ('value', 'Exception')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Maintenance Page(500/503)'), ('validFor', None), ('value', 'UnderConstruction')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Limit Exceeded Page (509)'), ('validFor', None), ('value', 'BandwidthExceeded')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Site Template'), ('validFor', None), ('value', 'SiteTemplate')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Robots Configuration Page'), ('validFor', None), ('value', 'RobotsTxt')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Change Password Page'), ('validFor', None), ('value', 'ChangePassword')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'My Profile Page'), ('validFor', None), ('value', 'MyProfile')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Self Registration Page'), ('validFor', None), ('value', 'SelfReg')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Forgot Password Page'), ('validFor', None), ('value', 'ForgotPassword')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,True,False
True,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Page Override Setting,255,,,OverrideSetting,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Designer')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'VisualForce')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Standard')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Configurable')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,True,False
