aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,UserProvisioningRequest ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,18,False,,False,False,,,True,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Owner ID,18,,,OwnerId,False,True,False,False,[],True,0,False,,"['Group', 'User']",Owner,,False,False,0,False,tns:ID,True,reference,False,True,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,True,765,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,True,,Name,255,,,Name,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,User ID,18,,,SalesforceUserId,False,False,True,False,[],False,0,False,,['User'],SalesforceUser,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,450,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,True,,External User Id,150,,,ExternalUserId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,450,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,True,,App Name,150,,,AppName,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,State,255,,,State,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'New'), ('validFor', None), ('value', 'New')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Requested'), ('validFor', None), ('value', 'Requested')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Completed'), ('validFor', None), ('value', 'Completed')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Failed'), ('validFor', None), ('value', 'Failed')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Collecting'), ('validFor', None), ('value', 'Collecting')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Collected'), ('validFor', None), ('value', 'Collected')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Analyzing'), ('validFor', None), ('value', 'Analyzing')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Analyzed'), ('validFor', None), ('value', 'Analyzed')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Committing'), ('validFor', None), ('value', 'Committing')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Retried'), ('validFor', None), ('value', 'Retried')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Manually Completed'), ('validFor', None), ('value', 'Manually Completed')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,True,False
True,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Operation,255,,,Operation,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Create'), ('validFor', None), ('value', 'Create')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Read'), ('validFor', None), ('value', 'Read')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Update'), ('validFor', None), ('value', 'Update')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Deactivate'), ('validFor', None), ('value', 'Deactivate')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Activate'), ('validFor', None), ('value', 'Activate')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Freeze'), ('validFor', None), ('value', 'Freeze')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Unfreeze'), ('validFor', None), ('value', 'Unfreeze')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Reconcile'), ('validFor', None), ('value', 'Reconcile')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Linking'), ('validFor', None), ('value', 'Linking')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,True,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Scheduled Provisioning Time,0,,,ScheduleDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Connected App ID,18,,,ConnectedAppId,False,False,True,False,[],False,0,False,,['ConnectedApplication'],ConnectedApp,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,UserProvisioningConfig ID,18,,,UserProvConfigId,False,False,True,False,[],False,0,False,,['UserProvisioningConfig'],UserProvConfig,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,User Provisioning Account ID,18,,,UserProvAccountId,False,False,True,False,[],False,0,False,,['UserProvAccount'],UserProvAccount,,False,False,0,False,tns:ID,True,reference,False,True,False
