aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,False,,False,False,False,True,,Change Event ID,18,,,Id,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,False,id,False,False,False
False,False,3000,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Replay ID,1000,,,ReplayId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Change Event Header,0,,,ChangeEventHeader,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,ChangeEventHeader,False,complexvalue,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Owner ID,18,,,OwnerId,False,False,True,False,[],True,0,False,,"['Group', 'User']",,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,<Entity>,80,,,Name,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,False,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,False,datetime,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Created By ID,18,,,CreatedById,False,False,True,False,[],False,0,False,,['User'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,False,datetime,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,True,False,[],False,0,False,,['User'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,765,False,,False,False,,,False,True,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,URL,255,,,URL__c,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,url,False,False,False
False,False,18,False,,False,False,,,False,True,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,System,18,,,System__c,False,False,True,True,[],False,0,False,,['System__c'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,765,False,,False,False,,,False,True,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Type,255,,,Type__c,False,False,True,True,"[OrderedDict([('active', True), ('defaultValue', False), ('label', '*Drawing'), ('validFor', None), ('value', 'Drawing')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '*Logic'), ('validFor', None), ('value', 'Logic')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '*Mapping'), ('validFor', None), ('value', 'Mapping')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '*Security'), ('validFor', None), ('value', 'Security')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Data Sample'), ('validFor', None), ('value', 'Data_Sample')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Document Folder'), ('validFor', None), ('value', 'Document_Folder')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Go-Live-Code'), ('validFor', None), ('value', 'Go_Live_Code')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Go-Live-Other'), ('validFor', None), ('value', 'Go_Live_Other')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Go-Live-Recipe'), ('validFor', None), ('value', 'Go_Live_Recipe')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Script-JSON'), ('validFor', None), ('value', 'Script_JSON')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Script-Other'), ('validFor', None), ('value', 'Script_Other')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Script-SQL'), ('validFor', None), ('value', 'Script_SQL')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Test-Script'), ('validFor', None), ('value', 'Test_Script')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Thread-Build'), ('validFor', None), ('value', 'Thread_Build')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Thread-Design'), ('validFor', None), ('value', 'Thread_Design')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Thread-Ops'), ('validFor', None), ('value', 'Thread_Ops')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Thread-Support'), ('validFor', None), ('value', 'Thread_Support')])]",False,0,False,,[],,,False,True,0,False,xsd:string,False,picklist,False,False,False
False,True,90,False,,False,False,,,False,True,,,True,False,False,0,False,False,False,,False,,False,False,False,False,,URL Number,30,,,URL_Number__c,False,False,False,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
