aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Connected App ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,True,,Connected App Name,80,,,Name,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,AllowAdminApprovedUsersOnly,0,,,OptionsAllowAdminApprovedUsersOnly,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,RefreshTokenValidityMetric,0,,,OptionsRefreshTokenValidityMetric,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,HasSessionLevelPolicy,0,,,OptionsHasSessionLevelPolicy,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,isInternal,0,,,OptionsIsInternal,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
True,False,120,False,,False,False,,,False,False,10,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Lock App After,40,,,MobileSessionTimeout,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', '1 minute'), ('validFor', None), ('value', '1')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '5 minutes'), ('validFor', None), ('value', '5')]), OrderedDict([('active', True), ('defaultValue', True), ('label', '10 minutes'), ('validFor', None), ('value', '10')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '30 minutes'), ('validFor', None), ('value', '30')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '60 minutes'), ('validFor', None), ('value', '60')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '120 minutes'), ('validFor', None), ('value', '120')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '180 minutes'), ('validFor', None), ('value', '180')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '240 minutes'), ('validFor', None), ('value', '240')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
