aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Opportunity History ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Opportunity ID,18,,,OpportunityId,False,False,False,False,[],False,0,False,,['Opportunity'],Opportunity,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Stage Name,40,,,StageName,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Qualification'), ('validFor', None), ('value', 'Qualification')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Needs Analysis'), ('validFor', None), ('value', 'Needs Analysis')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Proposal'), ('validFor', None), ('value', 'Proposal')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Negotiation'), ('validFor', None), ('value', 'Negotiation')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Closed Won'), ('validFor', None), ('value', 'Closed Won')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Closed Lost'), ('validFor', None), ('value', 'Closed Lost')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Amount,0,,,Amount,False,False,True,False,[],False,18,False,,[],,,False,False,2,False,xsd:double,True,currency,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Expected Revenue,0,,,ExpectedRevenue,False,False,True,False,[],False,18,False,,[],,,False,False,2,False,xsd:double,True,currency,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Close Date,0,,,CloseDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:date,True,date,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Probability,0,,,Probability,False,False,True,False,[],False,3,False,,[],,,False,False,0,False,xsd:double,True,percent,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,To ForecastCategory,40,,,ForecastCategory,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Omitted'), ('validFor', None), ('value', 'Omitted')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Pipeline'), ('validFor', None), ('value', 'Pipeline')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Best Case'), ('validFor', None), ('value', 'BestCase')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Commit'), ('validFor', None), ('value', 'Forecast')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Closed'), ('validFor', None), ('value', 'Closed')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
